"id","activity","HU","MHC","HC50","LD50","EC50","LC50","IC50","NH"
"1577","30-35% hemolysis  at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1578","25% hemolysis at 200g/l","NA","NA","NA","NA","NA","NA","NA","NA"
"1579","30% hemolysis at 400g/l","NA","NA","NA","NA","NA","NA","NA","NA"
"1580","30% hemolysis at 200g/l","NA","NA","NA","NA","NA","NA","NA","NA"
"1581","40% hemolysis at 400g/l","NA","NA","NA","NA","NA","NA","NA","NA"
"1582","30% hemolysis at 200g/l","NA","NA","NA","NA","NA","NA","NA","NA"
"1583","35% hemolysis at 400g/l","NA","NA","NA","NA","NA","NA","NA","NA"
"1584","MHC = 125 µg/ml","NA","MHC = 125 µg/ml","NA","NA","NA","NA","NA","NA"
"1585","MHC = 5 µg/ml","NA","MHC = 5 µg/ml","NA","NA","NA","NA","NA","NA"
"1586","MHC = 2 µg/ml","NA","MHC = 2 µg/ml","NA","NA","NA","NA","NA","NA"
"1587","MHC = 5 µg/ml","NA","MHC = 5 µg/ml","NA","NA","NA","NA","NA","NA"
"1588","MHC = 62 µg/ml","NA","MHC = 62 µg/ml","NA","NA","NA","NA","NA","NA"
"1589","46% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1590","30% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1591","86% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1592","69% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1593","98% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1594","83% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1595","75% hemolysis at 1 x10-6 M","NA","NA","NA","NA","NA","NA","NA","NA"
"1596","100% hemolysis at 6.2x10-5 M","NA","NA","NA","NA","NA","NA","NA","NA"
"1597","100% hemolysis at 6.2x10-6 M","NA","NA","NA","NA","NA","NA","NA","NA"
"1598","40% hemolysis at 10-4 M","NA","NA","NA","NA","NA","NA","NA","NA"
"1599","90% hemolysis  at 10-4 M","NA","NA","NA","NA","NA","NA","NA","NA"
"1600","0.01% hemolysis at 10µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1601","0.19% hemolysis at 10µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1602","25.8% hemolysis at 10µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1603","0.02% hemolysis at 10µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1604","0.06% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1605","0.32% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1606","189.2% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1607","0.08% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1608","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1609","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1610","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1611","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1612","~10% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1613","~60% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1614","~100% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1615","50% hemolysis at 290µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1616","50% hemolysis at 5µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1617","50% hemolysis at 7µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1618","50% hemolysis at >300µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1619","40% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1620","40% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1621",">80% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1622","20% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1623","40% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1624","~40% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1625",">80% hemolysis 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1626","75% hemolysis at 30µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1627","100% hemolysis at 25-30µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1628","75% hemolysis at 30µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1629","~100% hemolysis at 5µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1630","~100% hemolysis at 15-20µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1631","50% hemolysis at 30µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1632","25% hemolysis at 30µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1633","20% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1634","15% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1635","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1636","40% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1637","1.98% hemolysis at 64µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1638","2.05% hemolysis at 64µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1639","62% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1640","18% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1641","46% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1642","48% hemolysis at 10µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1643","20.0±1.8% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1644","18.1±0.3% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1645","11.2±1.5% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1646","20.9±1.8% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1647","29.0±4.9% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1648","<50% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1649",">10% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1650","20% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1651","~50% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1652","~30% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1653","<50% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1654",">5% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1655","10-15% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1656","~50% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1657","10-15% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1658","100% hemolysis at 50μg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1659","At 100µM less than 10% hemolysis","NA","NA","NA","NA","NA","NA","NA","NA"
"1660","~10% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1661","~10% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1662","~15% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1663",">30% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1664",">30% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1665","~15% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1666","~15% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1667","~15% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1668","~20 hemolysis at 1000µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1669","~40 hemolysis at 1000µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1670",">80 hemolysis at 1000µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1671",">80 hemolysis at 1000µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1672",">80 hemolysis at 1000µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1673","~100 hemolysis at 1000µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1674",">80% hemolysis at 1000µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1675","10% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1676","0.25% hemolysis at 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1677","LC50 = 40µM","NA","NA","NA","NA","NA","LC50 = 40µM","NA","NA"
"1678","LC50 = 295µM","NA","NA","NA","NA","NA","LC50 = 295µM","NA","NA"
"1679","LC50 = 500µM","NA","NA","NA","NA","NA","LC50 = 500µM","NA","NA"
"1680","LC50 = 210µM","NA","NA","NA","NA","NA","LC50 = 210µM","NA","NA"
"1681","LC50 =140µM","NA","NA","NA","NA","NA","LC50 =140µM","NA","NA"
"1682","LC50 = 180µM","NA","NA","NA","NA","NA","LC50 = 180µM","NA","NA"
"1683","LC50 = 100µM","NA","NA","NA","NA","NA","LC50 = 100µM","NA","NA"
"1684","11±4.6% hemolysis at 360µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1685","68±7.5% hemolysis at 360µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1686","81 ±  5.3% hemolysis at 360µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1687","37±5.2% hemolysis at 360µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1688","42± 6.8% hemolysis at 360µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1689","1±0.1% hemolysis at 360µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1690","5±0.1% hemolysis at 360µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1691","20%  hemolysis at 1mM","NA","NA","NA","NA","NA","NA","NA","NA"
"1692","HL50 = 1.5 μM at pH 7.4","NA","NA","NA","NA","NA","NA","NA","NA"
"1693","HL50 = 6 μM at pH 4.5","NA","NA","NA","NA","NA","NA","NA","NA"
"1694","HL50 = 3.0 at pH 7.4","NA","NA","NA","NA","NA","NA","NA","NA"
"1695","HL50 = 1 μM at pH 4.5","NA","NA","NA","NA","NA","NA","NA","NA"
"1696","HL50 = 2.5 μM at pH 7.4","NA","NA","NA","NA","NA","NA","NA","NA"
"1697","~80% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1698","11%  hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1699","65% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1700","~40% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1701","~63%  hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1702","0-5% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1703","75% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1704","11%  hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1705","65% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1706","21%  hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1707","~63%  hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1708","4% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1709",">40% hemolysis at 40 µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1710","EC50 = 380µg/ml","NA","NA","NA","NA","EC50 = 380µg/ml","NA","NA","NA"
"1711","EC50 = 190µg/ml","NA","NA","NA","NA","EC50 = 190µg/ml","NA","NA","NA"
"1712","EC50 =>1000µg/ml","NA","NA","NA","NA","EC50 =>1000µg/ml","NA","NA","NA"
"1713","EC50 = 60µg/ml","NA","NA","NA","NA","EC50 = 60µg/ml","NA","NA","NA"
"1714","EC50 =>1000µg/ml","NA","NA","NA","NA","EC50 =>1000µg/ml","NA","NA","NA"
"1715","EC50 = 220µg/ml","NA","NA","NA","NA","EC50 = 220µg/ml","NA","NA","NA"
"1716","EC50 =>1000µg/ml","NA","NA","NA","NA","EC50 =>1000µg/ml","NA","NA","NA"
"1717","EC50 =>1000µg/ml","NA","NA","NA","NA","EC50 =>1000µg/ml","NA","NA","NA"
"1718","EC50 = 354µg/ml","NA","NA","NA","NA","EC50 = 354µg/ml","NA","NA","NA"
"1719","EC50 = 310µg/ml","NA","NA","NA","NA","EC50 = 310µg/ml","NA","NA","NA"
"1720","96% hemolysis at 20 µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1721","<0.3% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1722","115.7 ±2.5% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1723","30.2±2.8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1724","3.2 HU/mg","3.2 HU/mg","NA","NA","NA","NA","NA","NA","NA"
"1725","<10 HU/mg","<10 HU/mg","NA","NA","NA","NA","NA","NA","NA"
"1726","79 HU/mg","79 HU/mg","NA","NA","NA","NA","NA","NA","NA"
"1727","63 HU/mg","63 HU/mg","NA","NA","NA","NA","NA","NA","NA"
"1728","24 % of hemolysis at 50mM","NA","NA","NA","NA","NA","NA","NA","NA"
"1729","23 % of hemolysis at 50mM","NA","NA","NA","NA","NA","NA","NA","NA"
"1730","36 % of hemolysis at 50mM","NA","NA","NA","NA","NA","NA","NA","NA"
"1731","97 % of hemolysis at 50mM","NA","NA","NA","NA","NA","NA","NA","NA"
"1732","18 % of hemolysis at 50mM","NA","NA","NA","NA","NA","NA","NA","NA"
"1733","~100% hemolysis at above 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1734","~10% hemolysis at above 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1735","~20% hemolysis at above 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1736","~60% hemolysis at above 100µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1737","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1738","100% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1739","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1740","100% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1741","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1742","100% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1743","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1744","100% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1745","70% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1746","70% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1747","3% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1748","3% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1749","23% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1750","23% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1751","23% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1752","23% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1753","55% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1754","55% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1755","27% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1756","27% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1757","63% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1758","63% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1759","14% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1760","14% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1761","33.4% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1762","14.3% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1763","43.6% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1764","24.9% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1765","86.8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1766","50% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1767","10.8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1768","1% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1769","26.7% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1770","9.2% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1771","5.9% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1772","3.2% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1773","6% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1774","4.9% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1775","5.70% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1776","3.80% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1777","3.30% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1778","3.3% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1779","27.30% hemolysis  at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1780","8.9% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1781","24.4% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1782","7.4% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1783","44.7% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1784","26.6% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1785","41.3% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1786","33.5% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1787","24.9% hemolysis  at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1788","18.9% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1789","29.7% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1790","10.5% hemolysis at 25µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1791","LD50  at 65µM","NA","NA","NA","LD50  at 65µM","NA","NA","NA","NA"
"1792","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1793","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1794","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1795","LD50 = 42µM","NA","NA","NA","LD50 = 42µM","NA","NA","NA","NA"
"1796","LD50 = 100µM","NA","NA","NA","LD50 = 100µM","NA","NA","NA","NA"
"1797","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1798","LD50 = 330µM","NA","NA","NA","LD50 = 330µM","NA","NA","NA","NA"
"1799","LD50 = 38µM","NA","NA","NA","LD50 = 38µM","NA","NA","NA","NA"
"1800","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1801","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1802","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1803","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1804","LD50 = 110µM","NA","NA","NA","LD50 = 110µM","NA","NA","NA","NA"
"1805","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1806","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1807","LD50 = 385µM","NA","NA","NA","LD50 = 385µM","NA","NA","NA","NA"
"1808","LD50 = 210µM","NA","NA","NA","LD50 = 210µM","NA","NA","NA","NA"
"1809","LD50 = 500µM","NA","NA","NA","LD50 = 500µM","NA","NA","NA","NA"
"1810","LD50 = 12µM","NA","NA","NA","LD50 = 12µM","NA","NA","NA","NA"
"1811","LD50 = 16µM","NA","NA","NA","LD50 = 16µM","NA","NA","NA","NA"
"1812","LD50 = 100µM","NA","NA","NA","LD50 = 100µM","NA","NA","NA","NA"
"1813","50% hemolysis at 128µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1814","10% hemolysis at 64µg/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1815","Hemolytic activity expresssed as the initial rate (∆A/∆t, min- 1) i.e. at above 100 µM activity is a","NA","NA","NA","NA","NA","NA","NA","NA"
"1816","Hemolytic activity expresssed as the initial rate (∆A/∆t, min- 1) i.e. at above 100 µM activity is l","NA","NA","NA","NA","NA","NA","NA","NA"
"1817","Hemolytic activity expresssed as the initial rate (∆A/∆t, min- 1) i.e. at above 100 µM activity is  ","NA","NA","NA","NA","NA","NA","NA","NA"
"1818","Hemolytic activity expresssed as the initial rate (∆A/∆t, min- 1) i.e. at above 100 µM activity is  ","NA","NA","NA","NA","NA","NA","NA","NA"
"1819","Hemolytic activity expresssed as the initial rate (∆A/∆t, min- 1) i.e. at above 100 µM activity is  ","NA","NA","NA","NA","NA","NA","NA","NA"
"1820","40% hemolysis at 1µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1821","90% hemolysis at 10 µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1822","4.5% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1823","11.62% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1824","14.92% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1825","9.65% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1826","4.70% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1827","94.69% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1828","23.11% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1829","3±1% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1830","34±9.2% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1831","51±4.8% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1832","9±2.2% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1833","6±0.6% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1834","40±4.0% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1835","10±1.3% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1836","3±0.1% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1837","40±3.5% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1838","42±4.7% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1839","14±1.6% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1840","22±1.3% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1841","2±0.7% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1842","2±0.4% hemolysis at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1843","34±2.1% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1844","71±2.3% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1845","84±6.5% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1846","63±5.9% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1847","40±3.8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1848","85±7.4% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1849","65±1.5% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1850","22±2.8% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1851","79±6.5% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1852","83±13.5% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1853","91±6.2% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1854","81±3.7% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1855","8±1.6% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1856","14±2.9% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1857","50-60% hemolysis at 10-3 M","NA","NA","NA","NA","NA","NA","NA","NA"
"1858","100% hemolysis at 10-3 M","NA","NA","NA","NA","NA","NA","NA","NA"
"1859","EC50 = 80 µM","NA","NA","NA","NA","EC50 = 80 µM","NA","NA","NA"
"1860","EC50 = 1 µM","NA","NA","NA","NA","EC50 = 1 µM","NA","NA","NA"
"1861","LC50 = <5 µM","NA","NA","NA","NA","NA","LC50 = <5 µM","NA","NA"
"1862","LC50 = <5 µM","NA","NA","NA","NA","NA","LC50 = <5 µM","NA","NA"
"1863","LC50 = <5 µM","NA","NA","NA","NA","NA","LC50 = <5 µM","NA","NA"
"1864","0% hemolysis at 100µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µg/ml (non-hemolytic)"
"1865","0% hemolysis at 100µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µg/ml (non-hemolytic)"
"1866","0% hemolysis at 100µg/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µg/ml (non-hemolytic)"
"1867","0% hemolysis at 1x10-5 M (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 1x10-5 M (non-hemolytic)"
"1868","Non-hemolytic","NA","NA","NA","NA","NA","NA","NA","Non-hemolytic"
"1869","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1870","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1871","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1872","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1873","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1874","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1875","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
"1876","0% hemolysis at 100µM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 100µM (non-hemolytic)"
